category_name,total_items_sold,total_category_sales,avg_delivery_days,avg_delay_days
Fishing,17325,6929653.5,3.502,0.5552
Cleats,24551,4431942.66,3.5066,0.577
Camping & Hiking,13729,4118425.42,3.4982,0.5514
Cardio Equipment,12487,3694843.2,3.4952,0.5543
Women's Apparel,21035,3147800.0,3.4847,0.5595
Water Sports,15540,3113844.6,3.4828,0.5673
Men's Footwear,22246,2891757.54,3.5013,0.5642
Indoor/Outdoor Games,19298,2888993.94,3.4958,0.5647
Shop By Sport,10984,1309522.02,3.4936,0.5753
Computers,442,663000.0,3.6154,0.4548
Electronics,3156,371034.64,3.4949,0.5719
Cameras,592,267607.68,3.3378,0.6453
Garden,484,257768.72,3.4979,0.5496
Children's Clothing,652,232829.2,3.6074,0.5798
Crafts,484,223356.32,3.5785,0.6343
Girls' Apparel,1201,151706.2,3.5079,0.5853
Women's Clothing,650,140283.0,3.5385,0.6523
Accessories,1780,133671.51,3.4983,0.5893
Sporting Goods,357,117006.75,3.4902,0.619
Golf Gloves,1070,116695.39,3.5523,0.6159
Music,434,113122.1,3.4839,0.5737
Consumer Electronics,431,108991.28,3.4316,0.6381
Golf Shoes,524,107998.0,3.4676,0.5782
Health and Beauty,362,106080.48,3.4586,0.5331
Kids' Golf Clubs,384,98797.58,3.6328,0.6198
Baseball & Softball,632,94057.15,3.4747,0.5839
Boxing & MMA,423,85205.41,3.4681,0.6667
DVDs,483,79395.54,3.6439,0.53
Golf Balls,1475,77098.16,3.5085,0.5478
Trade-In,974,68721.78,3.5698,0.6314
Hunting & Shooting,440,56848.42,3.4273,0.5614
Strength Training,111,54895.53,3.7477,0.6667
Hockey,614,48360.73,3.4202,0.4691
Men's Golf Clubs,283,47035.8,3.4452,0.3251
Tennis & Racquet,328,44585.09,3.5427,0.6494
Women's Golf Clubs,181,44545.97,3.5635,0.558
Men's Clothing,208,43856.8,3.4231,0.5144
Pet Supplies,492,41524.8,3.3882,0.7093
Lacrosse,343,39464.79,3.6181,0.6589
Fitness Accessories,309,35601.44,3.5728,0.6149
Golf Apparel,441,34969.75,3.5306,0.4739
Video Games,838,33310.5,3.5907,0.5764
Basketball,67,27099.33,3.4627,0.4776
Soccer,138,26477.05,3.7101,0.7174
As Seen on  TV!,68,20597.94,3.6324,0.6618
Books,405,12587.4,3.3901,0.5333
Baby,207,12229.56,3.1498,0.4444
Golf Bags & Carts,61,10369.39,3.3443,0.7705
Toys,529,6104.66,3.518,0.552
CDs,271,3059.59,3.4539,0.4613
